mb_size:64,h_dim_shared:300,h_dim_CS:100,num_layers_shared:1,num_layers_CS:5,active_fn:tanh,beta:1.0,,(0.6379462163773214, 0.6357497192182129)
mb_size:32,h_dim_shared:300,h_dim_CS:100,num_layers_shared:3,num_layers_CS:2,active_fn:tanh,beta:5.0,,(0.6314730813087412, 0.663269223248592)
mb_size:32,h_dim_shared:200,h_dim_CS:50,num_layers_shared:3,num_layers_CS:5,active_fn:tanh,beta:5.0,,(0.6464642094869895, 0.6580284877737645)
mb_size:64,h_dim_shared:50,h_dim_CS:300,num_layers_shared:5,num_layers_CS:3,active_fn:relu,beta:5.0,,(0.6534760925202232, 0.5921367827963143)
mb_size:64,h_dim_shared:50,h_dim_CS:300,num_layers_shared:3,num_layers_CS:3,active_fn:elu,beta:0.5,,(0.6274715596178304, 0.5762318168444799)
mb_size:128,h_dim_shared:100,h_dim_CS:300,num_layers_shared:1,num_layers_CS:5,active_fn:elu,beta:0.1,,(0.6430957975302674, 0.5507679641267558)
mb_size:64,h_dim_shared:50,h_dim_CS:300,num_layers_shared:3,num_layers_CS:1,active_fn:elu,beta:0.1,,(0.6520354505695952, 0.5568859645820057)
mb_size:128,h_dim_shared:200,h_dim_CS:50,num_layers_shared:2,num_layers_CS:5,active_fn:tanh,beta:5.0,,(0.6286708338797494, 0.6922098674540096)
mb_size:64,h_dim_shared:200,h_dim_CS:200,num_layers_shared:3,num_layers_CS:5,active_fn:tanh,beta:5.0,,(0.5729093825525102, 0.5350351898458275)
mb_size:32,h_dim_shared:200,h_dim_CS:50,num_layers_shared:2,num_layers_CS:2,active_fn:relu,beta:0.1,,(0.6507100797142379, 0.5451383928008844)
mb_size:128,h_dim_shared:300,h_dim_CS:100,num_layers_shared:2,num_layers_CS:1,active_fn:elu,beta:5.0,,(0.6042954690185817, 0.6723395562769068)
mb_size:32,h_dim_shared:50,h_dim_CS:50,num_layers_shared:5,num_layers_CS:2,active_fn:tanh,beta:0.1,,(0.6068335396743406, 0.5515010267879029)
mb_size:64,h_dim_shared:100,h_dim_CS:300,num_layers_shared:5,num_layers_CS:5,active_fn:elu,beta:3.0,,(0.6182023096729947, 0.6317212385096505)
mb_size:64,h_dim_shared:200,h_dim_CS:200,num_layers_shared:2,num_layers_CS:1,active_fn:elu,beta:0.1,,(0.63951134119551, 0.5299753156292418)
mb_size:128,h_dim_shared:100,h_dim_CS:50,num_layers_shared:1,num_layers_CS:3,active_fn:relu,beta:0.5,,(0.6485722564773407, 0.583453885499908)
mb_size:128,h_dim_shared:100,h_dim_CS:50,num_layers_shared:3,num_layers_CS:1,active_fn:elu,beta:0.1,,(0.6285164228375061, 0.5370606110196536)
mb_size:64,h_dim_shared:200,h_dim_CS:50,num_layers_shared:3,num_layers_CS:3,active_fn:relu,beta:0.5,,(0.6390085551916492, 0.5620146716200769)
mb_size:64,h_dim_shared:200,h_dim_CS:50,num_layers_shared:5,num_layers_CS:1,active_fn:relu,beta:0.1,,(0.662857009998723, 0.5456948658916552)
mb_size:128,h_dim_shared:300,h_dim_CS:50,num_layers_shared:1,num_layers_CS:5,active_fn:tanh,beta:0.5,,(0.6292428380493337, 0.6321644892807742)
mb_size:128,h_dim_shared:50,h_dim_CS:50,num_layers_shared:3,num_layers_CS:2,active_fn:tanh,beta:5.0,,(0.6090373846089395, 0.6874859333873109)
mb_size:32,h_dim_shared:200,h_dim_CS:200,num_layers_shared:5,num_layers_CS:1,active_fn:tanh,beta:5.0,,(0.6184927656839214, 0.6653192465863824)
mb_size:64,h_dim_shared:300,h_dim_CS:200,num_layers_shared:5,num_layers_CS:3,active_fn:relu,beta:3.0,,(0.6396131330691859, 0.6179701825112576)
mb_size:128,h_dim_shared:300,h_dim_CS:100,num_layers_shared:1,num_layers_CS:1,active_fn:relu,beta:0.1,,(0.6573124103473248, 0.5632999894994699)
mb_size:64,h_dim_shared:50,h_dim_CS:100,num_layers_shared:1,num_layers_CS:5,active_fn:relu,beta:0.5,,(0.643500492110235, 0.5581469336781307)
mb_size:32,h_dim_shared:300,h_dim_CS:50,num_layers_shared:2,num_layers_CS:3,active_fn:relu,beta:1.0,,(0.6450454627233643, 0.5526542827993647)
mb_size:64,h_dim_shared:300,h_dim_CS:100,num_layers_shared:3,num_layers_CS:3,active_fn:elu,beta:5.0,,(0.6275941565247533, 0.6847850571241234)
mb_size:128,h_dim_shared:100,h_dim_CS:100,num_layers_shared:5,num_layers_CS:1,active_fn:elu,beta:0.1,,(0.6355636998994699, 0.5443087122587783)
mb_size:32,h_dim_shared:300,h_dim_CS:200,num_layers_shared:3,num_layers_CS:3,active_fn:relu,beta:0.5,,(0.6453566587684402, 0.5714228099266732)
mb_size:128,h_dim_shared:50,h_dim_CS:300,num_layers_shared:1,num_layers_CS:3,active_fn:elu,beta:0.5,,(0.6135778412695091, 0.5496936424527044)
mb_size:64,h_dim_shared:200,h_dim_CS:50,num_layers_shared:1,num_layers_CS:5,active_fn:elu,beta:1.0,,(0.6177664872558453, 0.5643627048250724)
mb_size:64,h_dim_shared:100,h_dim_CS:200,num_layers_shared:2,num_layers_CS:1,active_fn:tanh,beta:5.0,,(0.6210388209316284, 0.6711373523619777)
mb_size:64,h_dim_shared:100,h_dim_CS:50,num_layers_shared:5,num_layers_CS:2,active_fn:relu,beta:0.1,,(0.6546947100792645, 0.541275672114553)
mb_size:128,h_dim_shared:300,h_dim_CS:100,num_layers_shared:1,num_layers_CS:5,active_fn:tanh,beta:0.5,,(0.608251691446092, 0.6192762782615565)
mb_size:128,h_dim_shared:100,h_dim_CS:300,num_layers_shared:3,num_layers_CS:2,active_fn:elu,beta:3.0,,(0.6095479386601147, 0.6550743758083777)
mb_size:128,h_dim_shared:100,h_dim_CS:300,num_layers_shared:5,num_layers_CS:3,active_fn:tanh,beta:1.0,,(0.6016856808373239, 0.6361675195020067)
mb_size:128,h_dim_shared:200,h_dim_CS:300,num_layers_shared:3,num_layers_CS:2,active_fn:elu,beta:0.5,,(0.5872879080467011, 0.5675995013986784)
mb_size:128,h_dim_shared:200,h_dim_CS:200,num_layers_shared:2,num_layers_CS:3,active_fn:elu,beta:0.1,,(0.639074294758971, 0.5454063387953582)
mb_size:128,h_dim_shared:100,h_dim_CS:100,num_layers_shared:3,num_layers_CS:1,active_fn:elu,beta:0.1,,(0.6435254500560794, 0.5384871012746943)
mb_size:128,h_dim_shared:200,h_dim_CS:100,num_layers_shared:5,num_layers_CS:1,active_fn:tanh,beta:3.0,,(0.6135745126120802, 0.6584129137159288)
mb_size:128,h_dim_shared:50,h_dim_CS:100,num_layers_shared:3,num_layers_CS:2,active_fn:relu,beta:1.0,,(0.6244511582593281, 0.5770768549407235)
mb_size:64,h_dim_shared:300,h_dim_CS:100,num_layers_shared:5,num_layers_CS:1,active_fn:tanh,beta:1.0,,(0.6228540930009239, 0.6483016525158533)
mb_size:128,h_dim_shared:50,h_dim_CS:200,num_layers_shared:3,num_layers_CS:3,active_fn:tanh,beta:0.5,,(0.6337145569211072, 0.6016094995196992)
mb_size:128,h_dim_shared:300,h_dim_CS:200,num_layers_shared:1,num_layers_CS:1,active_fn:relu,beta:0.5,,(0.6625336554081852, 0.5542616601962689)
mb_size:32,h_dim_shared:200,h_dim_CS:200,num_layers_shared:5,num_layers_CS:5,active_fn:tanh,beta:0.5,,(0.6302533336549595, 0.5143396407054868)
mb_size:32,h_dim_shared:100,h_dim_CS:100,num_layers_shared:3,num_layers_CS:3,active_fn:relu,beta:1.0,,(0.6366444258184879, 0.58475845781488)
mb_size:64,h_dim_shared:300,h_dim_CS:100,num_layers_shared:5,num_layers_CS:1,active_fn:relu,beta:0.1,,(0.6470126669160882, 0.5709834338213567)
mb_size:64,h_dim_shared:300,h_dim_CS:200,num_layers_shared:5,num_layers_CS:3,active_fn:tanh,beta:0.1,,(0.6600578969328983, 0.557062179401685)
mb_size:64,h_dim_shared:200,h_dim_CS:100,num_layers_shared:1,num_layers_CS:1,active_fn:elu,beta:5.0,,(0.6124544030654806, 0.6743916835439911)
mb_size:64,h_dim_shared:50,h_dim_CS:100,num_layers_shared:5,num_layers_CS:2,active_fn:elu,beta:3.0,,(0.621484248509553, 0.6446819068063019)
mb_size:64,h_dim_shared:200,h_dim_CS:300,num_layers_shared:5,num_layers_CS:5,active_fn:tanh,beta:5.0,,(0.6196225442578168, 0.6627645264935537)
mb_size:64,h_dim_shared:300,h_dim_CS:200,num_layers_shared:3,num_layers_CS:2,active_fn:tanh,beta:1.0,,(0.6153683484776116, 0.622902469503938)
mb_size:32,h_dim_shared:50,h_dim_CS:50,num_layers_shared:1,num_layers_CS:2,active_fn:tanh,beta:0.5,,(0.621005673343048, 0.5133996471038962)
mb_size:32,h_dim_shared:50,h_dim_CS:50,num_layers_shared:5,num_layers_CS:5,active_fn:elu,beta:0.5,,(0.6359100326144785, 0.5753905192397273)
mb_size:32,h_dim_shared:300,h_dim_CS:100,num_layers_shared:2,num_layers_CS:3,active_fn:elu,beta:5.0,,(0.5950527194222691, 0.6459006119770692)
mb_size:64,h_dim_shared:100,h_dim_CS:300,num_layers_shared:1,num_layers_CS:3,active_fn:elu,beta:5.0,,(0.6145791101137157, 0.6738529956150133)
mb_size:128,h_dim_shared:300,h_dim_CS:100,num_layers_shared:3,num_layers_CS:5,active_fn:elu,beta:5.0,,(0.6398784816728206, 0.576731942768804)
mb_size:64,h_dim_shared:50,h_dim_CS:300,num_layers_shared:1,num_layers_CS:2,active_fn:elu,beta:0.5,,(0.6464601648740618, 0.5425809622613165)
